State,Total_Crop_Area_ha,Rice_Production_tons,Wheat_Production_tons,Cotton_Production_tons,Sugarcane_Production_tons,Total_Irrigation_Area_ha,Fertilizer_Usage_tons,Agricultural_GDP_crores,Rural_Population,Farmers_Count,GDP_Per_Capita,Literacy_Rate,HDI,Infrastructure_Index,Education_Index,Health_Index,Urbanization_Rate,Industrial_GDP_crores,Service_GDP_crores,Total_GDP_crores,Rice_Yield_per_ha,Wheat_Yield_per_ha,Irrigation_Coverage,Fertilizer_Intensity,Agriculture_GDP_Share,Industrial_GDP_Share,Service_GDP_Share,Agri_GDP_Per_Capita,Farmers_Percentage
Andaman and Nicobar Islands,18831570.0,8685377.0,2281785.0,53585.0,7255547.0,7153230.0,835816.0,427515.0,25047744.0,3936402.0,264176.0,79.8695114736997,0.699776706985249,0.853414220772877,0.8212559025519583,0.7963313997834071,44.56670260287612,375890.0,1850931.0,3917500.0,0.4612136428348778,0.12116807042641692,0.37985308712975074,0.04438376619687047,0.10912954690491385,0.09595149968091896,0.47247760051052967,0.01706800420828319,15.715594985320832
Andhra Pradesh,16194478.0,168148.0,2929190.0,4693874.0,1251482.0,1546176.0,1476976.0,363745.0,33263773.0,6155525.0,171958.0,73.99513401003394,0.6562502780077472,0.5280341613806621,0.7769744131561082,0.8004255816848019,24.891310662469724,839957.0,1125534.0,1222622.0,0.01038304538127132,0.18087585163288375,0.09547550714508983,0.09120244567314859,0.29751223190814496,0.6870128298034879,0.9205903378149584,0.01093516962131746,18.50519181934052
Arunachal Pradesh,13415092.0,1925665.0,5646411.0,3612279.0,592335.0,89353.0,1414104.0,488951.0,11410552.0,9637994.0,196867.0,61.63329821247654,0.7883516073048048,0.4202167947692157,0.6077649335194086,0.6140856168206597,47.60533769831114,188274.0,1150650.0,2553771.0,0.14354467341707383,0.42089990884892925,0.00666063266655197,0.10541142766669062,0.19146235116617738,0.07372391651404922,0.4505689821052867,0.04285077531744301,84.46562445007044
Assam,2334489.0,2845683.0,9750344.0,2131690.0,3483977.0,6534531.0,1669066.0,112512.0,31246082.0,3488618.0,181932.0,94.08144315945107,0.7533601546034454,0.7553314448428937,0.5976502088991097,0.5770843666479419,48.94655347021269,697995.0,1603593.0,3227825.0,1.2189746878224743,4.176650221954355,2.7991269181392586,0.7149598905799085,0.03485690828963776,0.21624313585773702,0.49680295555056425,0.0036008354583464256,11.164977420209036
Bihar,14686186.0,11886331.0,1057293.0,3001650.0,4320070.0,3410011.0,61663.0,152443.0,21204792.0,7963697.0,153694.0,68.14699691506064,0.7241960330412143,0.4554454104059157,0.5673164168691722,0.7489023363533063,21.356838989498627,335352.0,1823649.0,1046161.0,0.8093545185931869,0.07199234709406513,0.23219173446393773,0.00419870754735096,0.1457165770851714,0.3205548667939256,1.7431819767703058,0.0071890825432289075,37.55611939037176
Chandigarh,2528388.0,2758505.0,3903339.0,3067213.0,6507294.0,2608231.0,384705.0,148946.0,48591183.0,6595535.0,234779.0,61.09596523594455,0.6773893363123181,0.5360661246923177,0.6881202537784153,0.7997135021573323,19.20741072966221,455101.0,284512.0,4433711.0,1.0910133254864365,1.5438053811361232,1.031578618471532,0.1521542579699002,0.03359398030227951,0.10264561673054469,0.06417017257101332,0.003065288614191591,13.573522175823543
Chhattisgarh,9728519.0,11492366.0,4824183.0,501234.0,6750379.0,7704909.0,1074284.0,475587.0,21839356.0,2507184.0,169879.0,63.17122520864873,0.661907639716724,0.619668250932885,0.5875056878292281,0.7833253661489004,22.214554413775737,830260.0,1244665.0,4233839.0,1.1813068361176042,0.4958805137760434,0.791991977401699,0.11042626323698397,0.11232996814474995,0.19610098541772608,0.2939802387384121,0.02177660366908255,11.480118736101925
Dadra and Nagar Haveli,2763046.0,1371741.0,9517719.0,2549448.0,1434250.0,6709908.0,1630118.0,383480.0,37956186.0,6892385.0,135305.0,89.47996711082494,0.5824165378970193,0.7238450602706812,0.8933692563579372,0.6415778444927666,29.96773519539009,46631.0,621863.0,499395.0,0.49645970425392844,3.4446473203848216,2.428445997641733,0.5899713576972659,0.7678891458664985,0.09337498373031368,1.2452327316052423,0.010103227969216928,18.158792350738295
Daman and Diu,11059014.0,3869315.0,1046107.0,119556.0,4075717.0,3130389.0,1866926.0,37711.0,35923474.0,9128552.0,209765.0,75.74139466794179,0.6683730277543104,0.40026018849765793,0.6595297769778212,0.8107195345663358,32.880167968367324,776577.0,1337375.0,1310386.0,0.34987884091655913,0.0945931526987849,0.28306221513057134,0.16881486902901108,0.028778543116303134,0.5926322472920192,1.0205962212661002,0.0010497592743953438,25.411105841266913
Delhi,15446051.0,1146797.0,7180144.0,1585557.0,111087.0,1711909.0,1668845.0,272683.0,48773237.0,738105.0,253004.0,73.8302582600635,0.614878062426137,0.5762844281670845,0.8265727492877536,0.7978249570686294,40.74216057225236,82991.0,1306125.0,3104390.0,0.07424532004976547,0.46485305532138926,0.11083149990894113,0.10804347337711108,0.08783786830907199,0.026733432332922087,0.4207348303531451,0.0055908325297334685,1.5133401951566183
Goa,10626850.0,4156518.0,3416612.0,1958260.0,3610920.0,4309622.0,1936914.0,378616.0,11571761.0,4153022.0,160268.0,81.64351032665806,0.6760253496991545,0.5008596011676981,0.7232408008069364,0.6220330955521053,29.424550143449064,421927.0,217392.0,716326.0,0.39113359085712135,0.32150750222314234,0.4055408705307782,0.18226605249909428,0.5285526422327265,0.589015336592557,0.3034819342031421,0.03271896127132249,35.88928253875966
Gujarat,7504852.0,2769995.0,8461855.0,4343486.0,6910006.0,5009617.0,321955.0,138121.0,19676703.0,1468175.0,257892.0,73.3861696943507,0.7895765921792415,0.8478817978367597,0.6615344684232163,0.5336617928819972,27.936965719449894,799852.0,178823.0,699150.0,0.3690938875276954,1.1275179044170358,0.6675170942744774,0.04289958016493863,0.1975556032324966,1.1440348995208467,0.255772008867911,0.0070195194794575085,7.461488848004668
Haryana,5081505.0,12939420.0,5317180.0,1531101.0,2534413.0,5775570.0,1192459.0,167688.0,36559373.0,3856688.0,104886.0,94.41308100323758,0.6821102743060055,0.6376851115910559,0.5259568988435926,0.8291831425713614,49.778298504432826,893184.0,1043904.0,3425957.0,2.5463755324456043,1.046378976307216,1.136586503407947,0.2346665013613093,0.04894632361118368,0.2607108028501233,0.30470434976270866,0.004586730740704989,10.549108705994493
Himachal Pradesh,14053367.0,5097895.0,7857313.0,4388368.0,2957360.0,466880.0,1376970.0,370871.0,8083441.0,7315795.0,187337.0,76.3367012636793,0.582799754606763,0.6816377859881919,0.6015661655737379,0.6391502073806328,17.037010107093813,141373.0,1698728.0,168834.0,0.3627525702559394,0.559105373110942,0.03322193179755428,0.09798150151490387,2.1966606252295153,0.8373491121456579,10.061527891301514,0.04588033734643452,90.5034749434059
Jammu and Kashmir,3485357.0,3147262.0,4595583.0,4037419.0,5257647.0,2706138.0,564594.0,189423.0,2083509.0,2039173.0,274088.0,92.43306030278279,0.7915136286167312,0.5523906290790146,0.8193380499938205,0.8274722479773315,11.74415087017735,14014.0,1662895.0,3429569.0,0.9029955898348433,1.3185401093776046,0.7764306497153663,0.16199029252957445,0.05523230470067813,0.0040862277446524625,0.4848699647098513,0.090915374015663,97.87205142862354
Jharkhand,18644107.0,13579854.0,2754238.0,4418324.0,2832592.0,7122695.0,122547.0,380037.0,5420385.0,3822962.0,263458.0,90.09791423577121,0.5888820517112248,0.7477580432130637,0.5987504251354405,0.681212972684618,10.723014544620835,448452.0,1461578.0,3289576.0,0.7283724557040999,0.1477270002794985,0.38203465577621926,0.006572961633399765,0.11552765462783046,0.13632516774198256,0.4443058923095256,0.0701125473559535,70.52934431779292
Karnataka,4621373.0,6497986.0,2680708.0,3146729.0,5945544.0,7483296.0,920681.0,288076.0,18977237.0,4091776.0,218266.0,83.81076385057229,0.5495800817189007,0.46966572720293787,0.7785217091359153,0.7931985370675647,29.755748607337384,125294.0,1802005.0,3248649.0,1.4060726108885822,0.5800674388325721,1.619279811432663,0.19922239559542154,0.08867563100845921,0.03856803243440581,0.55469365881017,0.015180081273158995,21.561494963676747
Kerala,6119877.0,13287277.0,3544679.0,907421.0,5228650.0,5015050.0,1617618.0,122796.0,47018818.0,2777423.0,137498.0,75.76747381893401,0.5046909220223582,0.7022086896389086,0.7849082359697768,0.7364915409637482,17.152908368853154,469451.0,518863.0,4529125.0,2.17116732901658,0.5792075559688536,0.8194690841008733,0.2643219790201666,0.027112521734330583,0.1036515883310794,0.11456142190820523,0.0026116351967844023,5.907045557801985
Ladakh,16033681.0,10073006.0,3797389.0,4404539.0,6326567.0,160078.0,157718.0,459483.0,41394573.0,3130761.0,180608.0,85.45451985497473,0.7546741472798252,0.4823279265714709,0.5602870175861718,0.7748692278898802,49.78202043189364,283237.0,1552875.0,2950603.0,0.6282403897146264,0.2368382531746765,0.009983858354173317,0.009836668198650079,0.15572511788268364,0.0959929207690767,0.5262907276919327,0.011100078263882563,7.563216076658165
Lakshadweep,11284121.0,11073639.0,4192807.0,2133091.0,7983160.0,1965631.0,1367563.0,184426.0,18398917.0,1464466.0,288042.0,71.42892690820423,0.716518856349462,0.667044709687721,0.7032795106962875,0.73414588914998,28.79778055963772,28070.0,1680786.0,3017197.0,0.9813470628328073,0.37156700109826896,0.1741944277272461,0.12119357812628914,0.061124944774902004,0.009303336838794418,0.5570686965418565,0.010023742158302035,7.959522834958166
Madhya Pradesh,3444769.0,1970928.0,5567209.0,132409.0,5747469.0,863168.0,1809678.0,296999.0,48788847.0,5759840.0,162727.0,60.46427364059533,0.6270204442119109,0.6699205456508366,0.55923477198136,0.7573256417342702,24.658751383314396,981744.0,387654.0,4299913.0,0.5721509918371885,1.6161342023224199,0.2505735507954234,0.5253408864280885,0.06907093236537576,0.22831717758010453,0.09015391706762439,0.006087436335603504,11.805648942677411
